7zip 25.01-1
systemd 259-2
systemd-libs 259-2
systemd-sysvcompat 259-2
tar 1.35-2
tdb 1.4.14-2
texinfo 7.2-1
thin-provisioning-tools 1.3.1-1
tinysparql 3.10.1-2
tmux 3.6_a-1
tomlplusplus 3.4.0-1
tpm2-tss 4.1.3-1
tree 2.2.1-1
tree-sitter 0.25.10-3
tree-sitter-c 0.24.1-1
tree-sitter-lua 0.4.0-1
tree-sitter-markdown 0.5.1-1
tree-sitter-query 0.7.0-1
tree-sitter-vim 0.7.0-1
tree-sitter-vimdoc 4.0.0-1
tslib 1.24-1
ttf-liberation 2.1.5-2
tzdata 2025c-1
unibilium 2.1.2-1
upower 1.91.0-1
usbutils 019-1
util-linux 2.41.3-2
util-linux-libs 2.41.3-2
uwsm 0.26.0-1
vde2 2.3.3-8
vim 9.1.2077-1
vim-runtime 9.1.2077-1
virtiofsd 1.13.3-1
vulkan-icd-loader 1.4.335.0-1
waybar 0.14.0-6
wayland 1.24.0-1
wayland-protocols 1.47-1
webkit2gtk-4.1 2.50.4-1
webrtc-audio-processing-1 1.3-5
wev 1.1.0-1
which 2.23-1
woeusb-ng 0.2.12-3
woff2 1.0.2-6
wofi 1.5.3-1
wolfssl 5.8.4-1
wpa_supplicant 2:2.11-5
wxwidgets-common 3.2.9-4
wxwidgets-gtk3 3.2.9-4
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xdg-dbus-proxy 0.1.6-1
xdg-desktop-portal 1.20.3-2
xdg-desktop-portal-hyprland 1.3.11-3
xdg-user-dirs 0.19-2
xdg-utils 1.2.1-2
xf86-input-libinput 1.5.0-1
xkeyboard-config 2.46-1
xorg-fonts-encodings 1.1.0-1
xorg-server 21.1.21-1
xorg-server-common 21.1.21-1
xorg-setxkbmap 1.3.4-2
xorg-xauth 1.1.5-1
xorg-xkbcomp 1.5.0-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xset 1.2.5-2
xorg-xwayland 24.1.9-1
xorgproto 2025.1-1
xxhash 0.8.3-1
xz 5.8.2-1
yay 12.5.7-1
yay-debug 12.5.3-1
yyjson 0.12.0-1
zenity 4.2.1-1
zeromq 4.3.5-2
zlib 1:1.3.1-2
zlib-ng 2.3.2-1
zsh 5.9-5
zstd 1.5.7-2
